epoch,accuracy,loss,val_accuracy,val_loss
0,0.38474026322364807,1.408585786819458,0.5592105388641357,1.109959602355957
1,0.7662337422370911,0.7133177518844604,0.8552631735801697,0.49384835362434387
2,0.8620129823684692,0.39852553606033325,0.7960526347160339,0.5356476306915283
3,0.9025974273681641,0.3001125156879425,0.7763158082962036,0.7348508238792419
4,0.9123376607894897,0.23999008536338806,0.8881579041481018,0.32569390535354614
5,0.9188311696052551,0.24077732861042023,0.8815789222717285,0.318116158246994
6,0.9594155550003052,0.1695302426815033,0.8815789222717285,0.3245895206928253
7,0.9415584206581116,0.166950523853302,0.9078947305679321,0.4049917459487915
8,0.9496753215789795,0.12730789184570312,0.9078947305679321,0.2688642740249634
9,0.9724025726318359,0.11175759881734848,0.9013158082962036,0.21156832575798035
10,0.9707792401313782,0.11131694167852402,0.8881579041481018,0.23844729363918304
11,0.9691558480262756,0.10502525418996811,0.9407894611358643,0.1588246375322342
12,0.9724025726318359,0.08313239365816116,0.9539473652839661,0.14489148557186127
13,0.9626623392105103,0.11007948964834213,0.9078947305679321,0.24162152409553528
14,0.9772727489471436,0.06299488246440887,0.9407894611358643,0.10149290412664413
