epoch,accuracy,loss,val_accuracy,val_loss
0,0.7483766078948975,0.7249488234519958,0.9210526347160339,0.2604829967021942
1,0.9366883039474487,0.19946864247322083,0.9210526347160339,0.22307612001895905
2,0.9610389471054077,0.13975407183170319,0.9407894611358643,0.14553840458393097
3,0.9675324559211731,0.10296107828617096,0.9342105388641357,0.1662382036447525
4,0.9675324559211731,0.09493159502744675,0.9671052694320679,0.12902964651584625
5,0.9805194735527039,0.08852645009756088,0.9342105388641357,0.14089743793010712
6,0.9870129823684692,0.057823069393634796,0.9671052694320679,0.14279203116893768
7,0.9821428656578064,0.05898257717490196,0.9605262875556946,0.10686402767896652
8,0.9805194735527039,0.05647250637412071,0.9802631735801697,0.08127791434526443
9,0.9821428656578064,0.050484489649534225,0.9473684430122375,0.14319594204425812
10,0.9821428656578064,0.05246337503194809,0.9736841917037964,0.06616054475307465
11,0.9870129823684692,0.04554172232747078,0.9671052694320679,0.1051102727651596
12,0.9853895902633667,0.053981631994247437,0.9736841917037964,0.13352958858013153
13,0.9821428656578064,0.05139799788594246,0.9671052694320679,0.12242806702852249
14,0.9788960814476013,0.057596273720264435,0.9802631735801697,0.09289686381816864
